,Message,Views,Date,Time
0,🚫以下內容未有可靠來源：[突發]警察會係12點前郁手清場Source: LIHKG,1.8K,2019-06-11,22:50
1,🚫以下內容未有可靠來源：警方根據線報，有人將武器及石油氣等拎去金鐘Source: LIHKG,2.4K,2019-06-11,23:10
2,🚫 以下內容未有可靠來源：港大宿舍被警察入宿搜查前港大學生會長黃程峰Facebook澄清無此事Source: Davin Wong Facebookhttps://m.facebook.com/story.php?story_fbid=1317846721705939&id=100004418703058,2.6K,2019-06-11,23:19
3,"🚫 以下內容未有可靠來源：港府偷下宵禁令, 零時灣仔金鐘宵禁Source: LIHKG",2.7K,2019-06-11,23:29
4,🚫以下內容未有可靠來源：警犬沒收救護人員救援物資，疑違反國際人道法Source: LIHKG,3.0K,2019-06-11,23:46
5,✅已核實內容龍和道大量市民霸佔馬路Source: 立場直播,2.7K,2019-06-11,23:55
6,✅已核實內容香港眾志成員港鐵香港站堵路示威，呼籲罷工Source: 立場直播,3.3K,2019-06-11,00:18
7,✅已核實內容夏𢡱道東行有市民佔領Source: Now直播,3.6K,2019-06-11,00:32
8,✅已核實內容立法會部分入口被堵塞，立法會工務小組會議取消Source: Now新聞,4.0K,2019-06-11,00:40
9,🚫以下內容證實為假消息：紅隧過香港有壞車，封左Source: LIHKG,4.1K,2019-06-11,00:51
10,✅ 已核實內容港鐵應警方要求 港島綫、荃灣綫不停金鐘站Source: RTHK,4.8K,2019-06-11,00:53
11,✅ 已核實內容民陣召集早上10時龍和道中信門外集會Source: 民間人權陣線Telegram頻道,5.8K,2019-06-11,01:11
12,✅ 已核實內容警方指暫時不會清場，目前會先帶車上乘客離場。Source: 有線live，now news,5.9K,2019-06-11,01:40
13,✅ 已核實內容 港鐵金鐘站已恢復上落客，包括港島線、荃灣線、南港島線。Source: RTHK，Now News,6.0K,2019-06-11,07:57
14,✅ 已核實內容 警方於添華道向示威者噴射催淚水劑Source: Now News Live,6.1K,2019-06-12,08:03
15,❌ 以下內容證實為假消息：政總公務員不用上班。澄清：政總公務員會上班，但行政署呼籲員工避免駕車上班。Source: LIHKG，TVB,6.2K,2019-06-12,08:31
16,❌ 以下內容證實為假消息：港台消息指今天立法會會議取消澄清：11點恢復二讀會議沒有取消，而是8時30分工務小組委員會會議已取消。Source: RTHK News,6.9K,2019-06-12,08:40
17,🚫 以下內容未有可靠來源：添馬政總員工疏散Source: Telegram group,6.8K,2019-06-12,08:53
18,✅ 已核實內容 有私家車堵塞金鐘道Source: SCMP,10.6K,2019-06-12,09:15
19,✅ 已核實內容 政府總部職員可使用東翼二樓職員入口進出Source: 商台,6.8K,2019-06-12,09:16
20,✅ 已核實內容 政府總部各入口已封閉，行政署籲政府人員勿繼續前往。Source: 商台,7.4K,2019-06-12,09:19
21,✅ 已核實內容 現場有示威者收集磚頭Source: 立場、現場消息、tg group,8.1K,2019-06-12,09:22
22,✅ 已核實內容 龍和道及添美道交界陸續有政府人員離開政總Source: RTHK News,9.0K,2019-06-12,09:42
23,🚫 以下內容未有可靠來源：水炮車係香港站附近standby粉嶺水炮車出現Source: tg group,7.7K,2019-06-12,09:44
24,【#立法會消息 1045】秘書處通知議員，立法會會議未能準時開始，將由梁君彥決定的「稍後時間」才開會,28.5K,2019-06-12,09:52
25,✅ 已核實內容 原訂11時的大會將改於較後時間舉行Source: Now、蘋果,7.7K,2019-06-12,10:03
26,✅ 已核實內容 教育局：灣仔及中西區交通特殊，建議學校彈性處理學生遲到或缺席Source: 政府新聞處,8.8K,2019-06-12,10:18
27,✅ 已核實內容 目前金鐘道西行亦已被示威者佔領，並正加固路障。Source: 香港獨立媒體網,11.3K,2019-06-12,10:20
